n,beta,seed,sigma,k,m,steps,protocol,model,init_seed,sample_seed,mask_seed,samples_sha256,masks_sha256,unique_masks,elite_size,elapsed_seconds,kl,support_mass,support_kl,conditional_kl,unseen_mass,region_mass_kl,within_region_kl,coverage_1000,recovery_1000,conditional_coverage_1000,coverage_2000,recovery_2000,conditional_coverage_2000,coverage_5000,recovery_5000,conditional_coverage_5000
12,0.9,111,0.5,128,200,600,matched,iqp-parity,11007,118,333,6f4599f803588363f7f3f06a30082972087391773f80fd6d7eb3eadc6484859e,d7ecd91c26aae94b49f897d999416bd1156250ee74fcb6fc82f976a926f3ec37,126,289,0.5018126659560949,0.5302506750227907,1.0000000000000002,-2.2204460492503128e-16,0.5302506750227909,0.4420390076536533,0.00034387360972545564,0.5299068014130656,0.1143369948038004,0.3956297398055377,0.11433699480380037,0.07775667143204384,0.5381084528169124,0.07775667143204384,0.041251881224538496,0.7137003672065484,0.041251881224538496
12,0.9,111,0.5,128,200,600,matched,iqp-mse,11007,118,333,6f4599f803588363f7f3f06a30082972087391773f80fd6d7eb3eadc6484859e,d7ecd91c26aae94b49f897d999416bd1156250ee74fcb6fc82f976a926f3ec37,126,289,0.3799283750122413,0.47058694078527064,0.9999999999999998,2.2204460492503136e-16,0.4705869407852704,0.4601866753587547,5.260900667950364e-05,0.47053433177859116,0.11810726219854191,0.4086756477458197,0.11810726219854192,0.08063961138663603,0.5580595943711836,0.08063961138663603,0.042768748532754794,0.7399437462414324,0.042768748532754794
12,0.9,111,0.5,256,200,600,matched,iqp-parity,11903,118,333,6f4599f803588363f7f3f06a30082972087391773f80fd6d7eb3eadc6484859e,972725b08e181ae6aa2f502c561750e0cf1d1c957e52aa11724afca40d471529,242,289,0.5706919590011239,0.5040826348599746,1.0,-0.0,0.5040826348599746,0.4720260645897937,0.0005772840397896377,0.5035053508201852,0.12264184637147593,0.42436625042033194,0.12264184637147593,0.08230723043779675,0.569600210642192,0.08230723043779675,0.04260753569978811,0.7371545968821472,0.04260753569978811
12,0.9,111,0.5,256,200,600,matched,iqp-mse,11903,118,333,6f4599f803588363f7f3f06a30082972087391773f80fd6d7eb3eadc6484859e,972725b08e181ae6aa2f502c561750e0cf1d1c957e52aa11724afca40d471529,242,289,0.4111043330049142,0.4295313518162679,1.0,-0.0,0.4295313518162679,0.47579211698616897,0.0008617678029718273,0.42866958401329625,0.12184049128953424,0.4215933954655164,0.12184049128953424,0.08342975879288397,0.5773685729611348,0.08342975879288397,0.04416060193737616,0.7640242549719058,0.04416060193737616
12,0.9,111,0.5,512,200,600,matched,iqp-parity,13695,118,333,6f4599f803588363f7f3f06a30082972087391773f80fd6d7eb3eadc6484859e,dd569f72802791a9cb290348a025906a6f5663a8cf2f3e08538e17980f26cab4,467,289,0.5782018341124058,0.6018730497731237,1.0,-0.0,0.6018730497731237,0.45288527143341667,9.678473612611312e-06,0.6018633712995114,0.10808496668085493,0.37399642450122816,0.10808496668085493,0.07302308457005853,0.5053500662287788,0.07302308457005853,0.0388023078017323,0.6713202041822197,0.0388023078017323
12,0.9,111,0.5,512,200,600,matched,iqp-mse,13695,118,333,6f4599f803588363f7f3f06a30082972087391773f80fd6d7eb3eadc6484859e,dd569f72802791a9cb290348a025906a6f5663a8cf2f3e08538e17980f26cab4,467,289,0.4059833330102265,0.4287738792810607,1.0,-0.0,0.4287738792810607,0.46614226981562434,0.0002463378658553346,0.4285275414152056,0.12039063538035075,0.4165765930115943,0.12039063538035075,0.08282226474405505,0.5731644618965748,0.08282226474405505,0.04353972620649519,0.753282460319986,0.04353972620649519
12,0.9,111,1.0,128,200,600,matched,iqp-parity,11007,118,333,6f4599f803588363f7f3f06a30082972087391773f80fd6d7eb3eadc6484859e,331573660a98353ce03b9138deb1129ec9102bf9e352fdddeb42922986da2e6c,104,289,0.584175750031136,0.5487447301944746,1.0,-0.0,0.5487447301944746,0.5560173239355128,0.02046606309560281,0.5282786670988722,0.12307725901463126,0.4258728685627379,0.12307725901463126,0.08515085100433961,0.5892792457047724,0.08515085100433961,0.04446083215706468,0.7692185494301848,0.04446083215706468
12,0.9,111,1.0,128,200,600,matched,iqp-mse,11007,118,333,6f4599f803588363f7f3f06a30082972087391773f80fd6d7eb3eadc6484859e,331573660a98353ce03b9138deb1129ec9102bf9e352fdddeb42922986da2e6c,104,289,0.4047015830874443,0.47058694078527064,0.9999999999999998,2.2204460492503136e-16,0.4705869407852704,0.4601866753587547,5.260900667950364e-05,0.47053433177859116,0.11810726219854191,0.4086756477458197,0.11810726219854192,0.08063961138663603,0.5580595943711836,0.08063961138663603,0.042768748532754794,0.7399437462414324,0.042768748532754794
12,0.9,111,1.0,256,200,600,matched,iqp-parity,11903,118,333,6f4599f803588363f7f3f06a30082972087391773f80fd6d7eb3eadc6484859e,43fcbd0bd66ce3fd512595d22a3f4122b9e21124d682e858fea5860edb391eb2,167,289,0.5970196250127628,0.5479994177885965,1.0,-0.0,0.5479994177885965,0.4686501568115683,0.00037045924106724436,0.5476289585475294,0.11936651309917153,0.4130329172981714,0.11936651309917153,0.07930107438529396,0.5487963625279859,0.07930107438529396,0.04064687260525549,0.7032330900563234,0.04064687260525549
12,0.9,111,1.0,256,200,600,matched,iqp-mse,11903,118,333,6f4599f803588363f7f3f06a30082972087391773f80fd6d7eb3eadc6484859e,43fcbd0bd66ce3fd512595d22a3f4122b9e21124d682e858fea5860edb391eb2,167,289,0.4197094589471817,0.4295313518162679,1.0,-0.0,0.4295313518162679,0.47579211698616897,0.0008617678029718273,0.42866958401329625,0.12184049128953424,0.4215933954655164,0.12184049128953424,0.08342975879288397,0.5773685729611348,0.08342975879288397,0.04416060193737616,0.7640242549719058,0.04416060193737616
