n,beta,seed,sigma,k,m,steps,protocol,model,init_seed,sample_seed,mask_seed,samples_sha256,masks_sha256,unique_masks,elite_size,elapsed_seconds,kl,support_mass,support_kl,conditional_kl,unseen_mass,region_mass_kl,within_region_kl,coverage_1000,recovery_1000,conditional_coverage_1000,coverage_2000,recovery_2000,conditional_coverage_2000,coverage_5000,recovery_5000,conditional_coverage_5000
12,0.1,111,1.0,512,200,600,matched,iqp-parity,13695,118,333,53ba3c479c6b7c453ec9bf1f7b8021717bc2d07bb8c4924d9872862ab3916e36,46ec6552ea8abd2c67a85ebf993bb74a1984e0f557904f8a35ae4eb6d2b596da,273,340,1.1823396669933572,0.5642997404364276,1.0,-0.0,0.5642997404364276,0.8862941082159025,0.0019584340036602407,0.5623413064327671,0.10862486019663169,0.31948488293126964,0.10862486019663169,0.08309723760491647,0.48880728002892043,0.08309723760491647,0.04869049381394768,0.7160366737345247,0.04869049381394768
12,0.1,111,1.0,512,200,600,matched,iqp-mse,13695,118,333,53ba3c479c6b7c453ec9bf1f7b8021717bc2d07bb8c4924d9872862ab3916e36,46ec6552ea8abd2c67a85ebf993bb74a1984e0f557904f8a35ae4eb6d2b596da,273,340,0.7828402919694781,0.5157097035709959,1.0,-0.0,0.5157097035709959,0.8879606089078425,0.0016502838826180574,0.5140594196883778,0.12645076401341354,0.37191401180415745,0.12645076401341354,0.09321369767282733,0.5483158686636902,0.09321369767282733,0.05128469524500986,0.7541866947795567,0.05128469524500986
12,0.1,111,1.0,512,200,600,matched,ising-parity,30112,118,333,53ba3c479c6b7c453ec9bf1f7b8021717bc2d07bb8c4924d9872862ab3916e36,46ec6552ea8abd2c67a85ebf993bb74a1984e0f557904f8a35ae4eb6d2b596da,273,340,0.6709335419582203,2.503996352884545,0.5000251037343508,0.6930969743515965,1.8108993785329486,0.4399975014417629,0.0033412925649765196,1.8075580859679719,0.06303438830973994,0.18539525973452925,0.09788040730674256,0.048935466895004096,0.28785568761767116,0.06773709941255171,0.02949978408623675,0.433820354209364,0.03703976747028736
12,0.1,111,1.0,512,200,600,matched,ising-nll,30115,118,333,53ba3c479c6b7c453ec9bf1f7b8021717bc2d07bb8c4924d9872862ab3916e36,46ec6552ea8abd2c67a85ebf993bb74a1984e0f557904f8a35ae4eb6d2b596da,273,340,0.26919416594319046,0.9133173701529292,0.4999870581225703,0.6931730646497948,0.22014430550313446,0.43356642054533845,0.007050825436343826,0.21309348006679038,0.07595098089175872,0.2233852379169374,0.130921800767041,0.0654527137455434,0.3850159632090789,0.10136036919542496,0.0453316182485935,0.6666414448322573,0.058082101985078065
12,0.1,111,1.0,512,200,600,matched,transformer,35612,118,333,53ba3c479c6b7c453ec9bf1f7b8021717bc2d07bb8c4924d9872862ab3916e36,46ec6552ea8abd2c67a85ebf993bb74a1984e0f557904f8a35ae4eb6d2b596da,273,340,13.167239541071467,1.2873130152860155,0.6618715830762318,0.41268372513084856,0.8746292901551669,0.5171492679822028,0.05440211494237211,0.8202271752127948,0.06962796553526764,0.20478813392725775,0.0949699926915255,0.0574834563055745,0.3381379782680853,0.07369646046483695,0.037759727827297286,0.5552901151073131,0.0442742155560756
12,0.1,111,1.0,512,200,600,matched,maxent,36112,118,333,53ba3c479c6b7c453ec9bf1f7b8021717bc2d07bb8c4924d9872862ab3916e36,46ec6552ea8abd2c67a85ebf993bb74a1984e0f557904f8a35ae4eb6d2b596da,273,340,1.068145165918395,1.5034729243456237,0.5050342151977789,0.6831290991350101,0.8203438252106137,0.3570623269215434,0.11733133019412531,0.7030124950164881,0.05917225909012512,0.17403605614742684,0.09773850068916477,0.04919261931784083,0.28936834892847546,0.07390729317310837,0.033195455507164774,0.48816846334065844,0.04371741326046016
12,0.1,112,1.0,512,200,600,matched,iqp-parity,13696,119,334,84366733a574a8cc2b103d5cdcefb35647fbe7a0b9412d14028cd8b0e6d2eeec,b0126d22db14df8032614d0be237f7ba7f8faae015df79310d48a47a7e019709,279,339,1.1817147079855204,0.5650955802130402,1.0,-0.0,0.5650955802130402,0.8902065850121793,0.0014120962574119857,0.5636834839556283,0.1214323664069337,0.3582075705219283,0.1214323664069337,0.08940624979329245,0.5274705002554126,0.08940624979329245,0.04976879054065313,0.7340529578267423,0.04976879054065313
12,0.1,112,1.0,512,200,600,matched,iqp-mse,13696,119,334,84366733a574a8cc2b103d5cdcefb35647fbe7a0b9412d14028cd8b0e6d2eeec,b0126d22db14df8032614d0be237f7ba7f8faae015df79310d48a47a7e019709,279,339,0.8039811250055209,0.6222340264484416,0.9999999999999999,1.1102230246251565e-16,0.6222340264484415,0.8766345581858683,0.004434277536752851,0.6177997489116888,0.12368349670598583,0.3648480728790143,0.12368349670598586,0.09111028402356822,0.537523799549075,0.09111028402356822,0.05044632699774965,0.7440461209107618,0.05044632699774965
12,0.1,112,1.0,512,200,600,matched,ising-parity,30113,119,334,84366733a574a8cc2b103d5cdcefb35647fbe7a0b9412d14028cd8b0e6d2eeec,b0126d22db14df8032614d0be237f7ba7f8faae015df79310d48a47a7e019709,279,339,0.650482082972303,1.128448972474168,0.5000061062843473,0.6931349680658235,0.43531400440834445,0.4425841115306221,0.002361616291109484,0.4329523881172349,0.08449534415773645,0.24924880282518128,0.14052055301523853,0.07025270642990926,0.4144702444242434,0.10426383231913144,0.046013047587781755,0.6786585189938312,0.05709164014188063
12,0.1,112,1.0,512,200,600,matched,ising-nll,30116,119,334,84366733a574a8cc2b103d5cdcefb35647fbe7a0b9412d14028cd8b0e6d2eeec,b0126d22db14df8032614d0be237f7ba7f8faae015df79310d48a47a7e019709,279,339,0.27283570903819054,0.9397188462659147,0.4999843164192068,0.6931785482134913,0.2465402980524234,0.4310735350634922,0.009141532343430327,0.23739876570899318,0.07828666174908677,0.23093410545453327,0.13236276550803674,0.06617266369680978,0.3903991958513851,0.10044890287973805,0.04470323885485865,0.6593398061188591,0.05694190378871725
12,0.1,112,1.0,512,200,600,matched,transformer,35613,119,334,84366733a574a8cc2b103d5cdcefb35647fbe7a0b9412d14028cd8b0e6d2eeec,b0126d22db14df8032614d0be237f7ba7f8faae015df79310d48a47a7e019709,279,339,13.229284042026848,1.09907326560493,0.5129814019558747,0.6675156879658617,0.4315575776390683,0.4173914470657636,0.03342478216404446,0.3981327954750238,0.0813403479882883,0.23994202946397727,0.13158490012159416,0.06688416846253585,0.3945968640857572,0.09724390420729606,0.04341623190734456,0.6403574027631941,0.05405261653248015
12,0.1,112,1.0,512,200,600,matched,maxent,36113,119,334,84366733a574a8cc2b103d5cdcefb35647fbe7a0b9412d14028cd8b0e6d2eeec,b0126d22db14df8032614d0be237f7ba7f8faae015df79310d48a47a7e019709,279,339,1.1060028750216588,1.7388540030336173,0.5062492424712202,0.6807261569156531,1.0581278461179642,0.3468680590118042,0.1401511476286646,0.9179766984892993,0.051520073894976946,0.15197661915922403,0.0850466681781939,0.04287676663715418,0.2529602751454524,0.06479829636855276,0.029253097725149037,0.43146161836503,0.03898279291724588
12,0.1,113,1.0,512,200,600,matched,iqp-parity,13697,120,335,056f453d6005c1b706a59c7e5fba499fb139437c8937a28d522ac04edcabb113,494a09d0cb32c8fd575150abd91ad12074451b075c550159cd5a0edda3ce9c1b,296,335,0.911771250073798,0.5863381235213123,1.0,-0.0,0.5863381235213123,0.898104938755818,0.0003117022229530801,0.5860264212983592,0.11972077951074639,0.3573754612261086,0.11972077951074639,0.08870216736512017,0.5295651782992249,0.08870216736512017,0.049575211982918733,0.7399285370584886,0.049575211982918733
12,0.1,113,1.0,512,200,600,matched,iqp-mse,13697,120,335,056f453d6005c1b706a59c7e5fba499fb139437c8937a28d522ac04edcabb113,494a09d0cb32c8fd575150abd91ad12074451b075c550159cd5a0edda3ce9c1b,296,335,0.7748904579784721,0.5558646295253026,1.0,-0.0,0.5558646295253026,0.8802695332863603,0.003245606474873309,0.5526190230504292,0.11918238879731659,0.3557683247681092,0.11918238879731659,0.08861581135634178,0.5290496200378614,0.08861581135634178,0.049759536687961875,0.7426796520591324,0.049759536687961875
12,0.1,113,1.0,512,200,600,matched,ising-parity,30114,120,335,056f453d6005c1b706a59c7e5fba499fb139437c8937a28d522ac04edcabb113,494a09d0cb32c8fd575150abd91ad12074451b075c550159cd5a0edda3ce9c1b,296,335,0.5700167089235038,0.9479416216012186,0.5000000703754754,0.6931470398090043,0.25479458179221437,0.4443133808971279,0.0015209701745391886,0.25327361161767514,0.07755220622643443,0.23149912306398335,0.13112005980023533,0.06555264502940976,0.3913590748024463,0.09910719801031387,0.044020966451751145,0.6570293500261365,0.055857823611515346
12,0.1,113,1.0,512,200,600,matched,ising-nll,30117,120,335,056f453d6005c1b706a59c7e5fba499fb139437c8937a28d522ac04edcabb113,494a09d0cb32c8fd575150abd91ad12074451b075c550159cd5a0edda3ce9c1b,296,335,0.2179990829899907,0.9193163217674984,0.5000086884459161,0.6931298038190896,0.22618651794840883,0.43310288545247155,0.007348698899772008,0.21883781904863675,0.07783102435296232,0.23233141597899204,0.13298071104453288,0.06648387419421993,0.3969186519057907,0.10176334611546596,0.045337733559956274,0.6766825904471085,0.05751393724433408
