radius,objective,sigma,lr,beta,seed,key,parameters,status,error,kl,validation_nll,recovery_1000,coverage_1000,sample_sha256,validation_sha256,mask_sha256,initial_sha256,seconds
1,mse,1,0.005,0.9,111,r1_mse_sigma1_lr0.005,12,ok,,0.8892279893829236,6.693499366580698,0.3644166508084854,0.10531641208365228,6f4599f803588363f7f3f06a30082972087391773f80fd6d7eb3eadc6484859e,ff013eda1d426d67006a334f6583897c614d689f5823b14c442be63e78bb3962,46ec6552ea8abd2c67a85ebf993bb74a1984e0f557904f8a35ae4eb6d2b596da,96b86ecff4362f2ef445a3be334302d34ae7d03d85e8e8e806ebcb97f39a0fbd,0.26952466706279665
1,mse,1,0.005,0.9,112,r1_mse_sigma1_lr0.005,12,ok,,0.8209209753073331,6.520739749616853,0.34459252826489534,0.10131020330987922,23158049f8a287709543a55b89f8943218b08cba397a67e034633640e70c99f6,3dd0b47c3c1ce23069083c16d0c2272714da54db5025db5646fd1228b010a5e8,b0126d22db14df8032614d0be237f7ba7f8faae015df79310d48a47a7e019709,7a9d6f6f44535dccefcd9f050c6d5219ff9b2ce985333f042c13252f7c8bbf9d,0.2692682920023799
1,mse,1,0.005,0.9,113,r1_mse_sigma1_lr0.005,12,ok,,0.8031520625670986,6.350777406353014,0.37927166751203106,0.11529858692365744,1130bcd06d370ab57f1bc3a67409c755b267648b80a0f46e840060bb010d3ab8,db95c591d5ad7a1f08531cf0e04985b931fc730f28e8ed47b8c7c5d8ecd8db0c,494a09d0cb32c8fd575150abd91ad12074451b075c550159cd5a0edda3ce9c1b,174e4c9150f344ddaa327ef8fb73e301f24a660f0e2ae0e21efac189efc41f4b,0.27068533294368535
1,mse,1,0.005,0.9,114,r1_mse_sigma1_lr0.005,12,ok,,0.7951855177117138,6.493387183991439,0.38404584632958644,0.113293524667228,c8a7a565f4c34afcedf377bd8a33aee023bbafec99430b278d5183f906311b3e,52ceac77e1e0c99a5de90b23d52d3e2f15eb08da92d5b6842d3e92834a138f22,9fc9306ab4737b5804dc59a07264243c6abc622ca16efa0cd4d6bddf38b05e36,f47ce7c8bc2f0244646fc94f66378c03c6d3a6333febd714bd1a1c5b1219d360,0.2629926250083372
1,mse,1,0.005,0.9,115,r1_mse_sigma1_lr0.005,12,ok,,0.8556003656722444,6.374238788901375,0.34407189476589856,0.10287749653500368,21e3187a25ce542a7fda12331f6df5573b7aa9cfb19c4d6a1242f48e9ab77257,c3a0cabd7487508470d585545f7b6a856897b0410105302f1b4d5c12944c190d,fae9b80b4b9bbecd172da441f7a298732dc4ec9c5fd56650a16ee48bf4f2164a,fc82017ddfa783d3b8de0fe6ba6dbcae9d0f983fa2ca1940d75987890c01e5b1,0.2666349579812959
1,mse,1,0.005,0.9,116,r1_mse_sigma1_lr0.005,12,ok,,0.7960496667514496,6.511447429229905,0.3503257820070243,0.10684936351214241,b240340bda42b13e461b839e854e8931eb9b197c11fad589d1f07877b5a6c105,0d285e8573294ff0f8d626c9d7c79b1ffa6d14fb3071ba7be902aa48627a1c7e,67eaeaae05cc33550f061649f99bb92951375c55491458d36e2f1c224114a8b1,627cd83614a1918f21688e7b56bc7c56cdb023030fa2b61dc00bdd2a71476f26,0.2677182919578627
1,mse,1,0.005,0.9,117,r1_mse_sigma1_lr0.005,12,ok,,0.8907539784006056,6.521534889418359,0.31736567646172487,0.09394024023267056,2ff937c83d36f7b3a5406c91e8755c50ce932575e34db68925452587b0ab77d6,32821079a74fe63f445d951a557ad18447fced01821fc77b6b8d137d2fe48881,6d2e8203ab09f7481803ba6cac1d0fef11989f0d29cc5ddaeca62054fed6f238,3aa7f617f1e6bb331705e0b54586061851eddcd0f484aba7e5ddf22b6bf45eb9,0.26864170806948096
1,mse,1,0.005,0.9,118,r1_mse_sigma1_lr0.005,12,ok,,0.8005658850339763,6.4930252773678365,0.3765439885934269,0.10806812472631352,f9372f8f74b3a18b86f9a9dd960278381003e836073cde71119d3b892dde9434,ffdd2708cda2855a18fd4a81398631fadb59f1610b8dd3d36eefe8f678572c16,3672d037714419789c221c8c7564a09d4bd2e60bbf08a0fa3cd13f9a40a45c57,63674289799a75e81a2439fee851a11a30ef752f714ba1cbbd788542b68b464e,0.27012637502048165
1,mse,1,0.005,0.9,119,r1_mse_sigma1_lr0.005,12,ok,,0.8032466795895923,6.411891900679717,0.3758051556993245,0.11086252093130072,9cc5a5818d004f0f1492c246ba3ab8685b2df3f7dfd15cdf113ebebec42d8dee,01bf4e2b10f88360652600d185a9d719f05502f25f089d70da96eafa7fe4dfe3,a56289775eec0ce432a321db146cf9b88569ccab3daaa3aefaeb57ea0050cb73,55184240c009f311879b70da2d8309106fedd0c02ebba548f2a08fb9087a23fe,0.2683434169739485
1,mse,1,0.005,0.9,120,r1_mse_sigma1_lr0.005,12,ok,,0.8078243085083406,6.485804180523439,0.39223753242799164,0.11531783453382954,69e5aaf107b63f46b6b057dfe99d3189e4f485b9649136f1718f398f646e43c6,dff4b17a330f664ec4d31f507c7603e7842ac94d65226c760d6e78cfa953aeb7,be8ede604a893ee87034e6fb596cea91ea3be8f191d448807bebae1ef6fbfe79,7e0ff4802f886734f8d2147c6f421dd3113c80b48435574319bfbbad8b7330fa,0.26738529198337346
1,mse,1,0.01,0.9,111,r1_mse_sigma1_lr0.01,12,ok,,0.8007791098814112,6.633369692539312,0.3435818501648585,0.0992951546976441,6f4599f803588363f7f3f06a30082972087391773f80fd6d7eb3eadc6484859e,ff013eda1d426d67006a334f6583897c614d689f5823b14c442be63e78bb3962,46ec6552ea8abd2c67a85ebf993bb74a1984e0f557904f8a35ae4eb6d2b596da,96b86ecff4362f2ef445a3be334302d34ae7d03d85e8e8e806ebcb97f39a0fbd,0.26832637505140156
1,mse,1,0.01,0.9,112,r1_mse_sigma1_lr0.01,12,ok,,0.8099326486969265,6.494468303376511,0.3110621721163803,0.09145227860221582,23158049f8a287709543a55b89f8943218b08cba397a67e034633640e70c99f6,3dd0b47c3c1ce23069083c16d0c2272714da54db5025db5646fd1228b010a5e8,b0126d22db14df8032614d0be237f7ba7f8faae015df79310d48a47a7e019709,7a9d6f6f44535dccefcd9f050c6d5219ff9b2ce985333f042c13252f7c8bbf9d,0.27055391599424183
1,mse,1,0.01,0.9,113,r1_mse_sigma1_lr0.01,12,ok,,0.7737982709290367,6.29426003863838,0.34134236062377,0.10376807762962607,1130bcd06d370ab57f1bc3a67409c755b267648b80a0f46e840060bb010d3ab8,db95c591d5ad7a1f08531cf0e04985b931fc730f28e8ed47b8c7c5d8ecd8db0c,494a09d0cb32c8fd575150abd91ad12074451b075c550159cd5a0edda3ce9c1b,174e4c9150f344ddaa327ef8fb73e301f24a660f0e2ae0e21efac189efc41f4b,0.2983549169730395
1,mse,1,0.01,0.9,114,r1_mse_sigma1_lr0.01,12,ok,,0.6922835015414396,6.3833469365616295,0.3472097354682968,0.10242687196314756,c8a7a565f4c34afcedf377bd8a33aee023bbafec99430b278d5183f906311b3e,52ceac77e1e0c99a5de90b23d52d3e2f15eb08da92d5b6842d3e92834a138f22,9fc9306ab4737b5804dc59a07264243c6abc622ca16efa0cd4d6bddf38b05e36,f47ce7c8bc2f0244646fc94f66378c03c6d3a6333febd714bd1a1c5b1219d360,0.3048815419897437
1,mse,1,0.01,0.9,115,r1_mse_sigma1_lr0.01,12,ok,,0.8858221693095827,6.393105715901773,0.3128057953829957,0.09352893281951571,21e3187a25ce542a7fda12331f6df5573b7aa9cfb19c4d6a1242f48e9ab77257,c3a0cabd7487508470d585545f7b6a856897b0410105302f1b4d5c12944c190d,fae9b80b4b9bbecd172da441f7a298732dc4ec9c5fd56650a16ee48bf4f2164a,fc82017ddfa783d3b8de0fe6ba6dbcae9d0f983fa2ca1940d75987890c01e5b1,0.29376562498509884
1,mse,1,0.01,0.9,116,r1_mse_sigma1_lr0.01,12,ok,,0.829139973793121,6.565587796101086,0.312351511109772,0.09526721088848046,b240340bda42b13e461b839e854e8931eb9b197c11fad589d1f07877b5a6c105,0d285e8573294ff0f8d626c9d7c79b1ffa6d14fb3071ba7be902aa48627a1c7e,67eaeaae05cc33550f061649f99bb92951375c55491458d36e2f1c224114a8b1,627cd83614a1918f21688e7b56bc7c56cdb023030fa2b61dc00bdd2a71476f26,0.26963941706344485
1,mse,1,0.01,0.9,117,r1_mse_sigma1_lr0.01,12,ok,,0.8562943575757005,6.485963093232934,0.305615221003381,0.09046210541700078,2ff937c83d36f7b3a5406c91e8755c50ce932575e34db68925452587b0ab77d6,32821079a74fe63f445d951a557ad18447fced01821fc77b6b8d137d2fe48881,6d2e8203ab09f7481803ba6cac1d0fef11989f0d29cc5ddaeca62054fed6f238,3aa7f617f1e6bb331705e0b54586061851eddcd0f484aba7e5ddf22b6bf45eb9,0.26628016598988324
