beta,seed,rule,parity_sigma,parity_k,mse_k,parity_kl,matched_mse_kl,selected_mse_kl,parity_validation_nll,mse_validation_nll
0.1,111,oracle,2.0,512,128,0.5180111116270008,0.5157097035709959,0.48268830012805775,8.132714485869458,8.116703400487943
0.1,111,validation,3.0,256,128,0.5929006081500983,0.4830580559643406,0.48268830012805775,7.993023849382232,8.116703400487943
0.1,112,oracle,2.0,256,128,0.5393279729968818,0.5386627684913992,0.5189760656810896,8.179482526199681,8.058412824645725
0.1,112,validation,2.0,128,128,0.6380350859937508,0.5189760656810896,0.5189760656810896,8.080078017691555,8.058412824645725
0.1,113,oracle,2.0,512,256,0.4985472362927027,0.5558646295253026,0.49441792233400805,8.091691387491688,8.233432783387236
0.1,113,validation,3.0,512,128,0.5460645182262764,0.5558646295253026,0.5164864382335268,8.035844162253818,8.020969452278344
0.1,114,oracle,3.0,512,512,0.46536312416476167,0.5269452044505488,0.5269452044505488,8.191055939051207,8.258530549555093
0.1,114,validation,2.0,256,128,0.5052094046102531,0.5270498036065117,0.5750402180863636,8.076961201875108,8.00888934275592
0.1,115,oracle,3.0,512,512,0.5302396112866652,0.48382469097025205,0.48382469097025205,8.136327174145796,8.05612441692086
0.1,115,validation,3.0,256,256,0.5386689481378346,0.5162242486509219,0.5162242486509219,7.9667921315176065,7.993319134565702
0.1,116,oracle,1.0,128,512,0.5311997620522712,0.5849597799743167,0.5442134922271824,8.31861489803758,8.336342665989001
0.1,116,validation,0.5,256,256,0.6250454781220125,0.5683743466411065,0.5683743466411065,8.22224350659903,8.214756139924429
0.1,117,oracle,2.0,256,512,0.541123710107482,0.48267665163645335,0.465093676699959,8.205742057960048,8.081615714862238
0.1,117,validation,3.0,256,128,0.5812903645100205,0.48267665163645335,0.4996838122215562,8.153690373136978,7.986777316014586
0.1,118,oracle,0.5,256,256,0.49930003190544664,0.47767147062192467,0.47767147062192467,8.114119291038651,8.041714563369935
0.1,118,validation,1.0,512,256,0.5123153947831347,0.4931103695392295,0.47767147062192467,8.045727406077486,8.041714563369935
0.1,119,oracle,2.0,512,512,0.5581772671695229,0.4938488250709509,0.4938488250709509,8.199699754347082,8.16398146702088
0.1,119,validation,1.0,256,256,0.6183708809958885,0.5264692008635938,0.5264692008635938,8.145632869046654,8.099728568572075
0.1,120,oracle,0.5,512,256,0.4775517594239113,0.543287308136621,0.5286417835154271,8.156143332400434,8.231536685069644
0.1,120,validation,1.0,128,512,0.5042493466765013,0.5633947810514689,0.543287308136621,8.15228570857466,8.195863034891982
0.2,111,oracle,2.0,512,128,0.4822073131393159,0.5159577085804016,0.443988736311837,7.937286761713225,8.024435336559494
0.2,111,validation,2.0,512,256,0.4822073131393159,0.5159577085804016,0.4633605933248219,7.937286761713225,8.019161037222819
0.2,112,oracle,2.0,256,256,0.5503051075829474,0.4606466577242996,0.4606466577242996,8.21378366642187,7.956894730240538
0.2,112,validation,1.0,128,256,0.6150330534888984,0.5591202111460849,0.4606466577242996,8.114020527352777,7.956894730240538
0.2,113,oracle,1.0,256,128,0.4927610291027214,0.5515237053351925,0.5429181474399429,7.914319509923602,8.13885117760248
0.2,113,validation,1.0,256,256,0.4927610291027214,0.5515237053351925,0.5515237053351925,7.914319509923602,8.087851421240984
0.2,114,oracle,1.0,512,512,0.4526310502168331,0.4614264195027488,0.4614264195027488,8.096404014887872,8.114126984849152
0.2,114,validation,1.0,256,128,0.4716334474967075,0.47410150989984756,0.49569875871113617,8.031158937315295,8.039064569504943
0.2,115,oracle,2.0,256,256,0.45385270856545845,0.5077598497477077,0.5077598497477077,7.872295122523887,8.127334052857936
0.2,115,validation,2.0,256,512,0.45385270856545845,0.5077598497477077,0.6044568203847172,7.872295122523887,8.09454388316007
0.2,116,oracle,2.0,256,256,0.47611263091733547,0.4496340771722097,0.4496340771722097,7.919692343787899,7.961409078846002
0.2,116,validation,2.0,256,256,0.47611263091733547,0.4496340771722097,0.4496340771722097,7.919692343787899,7.961409078846002
0.2,117,oracle,1.0,256,512,0.49560450851956594,0.5280098039794484,0.521635981192715,8.075637579810735,8.08133453459483
0.2,117,validation,2.0,128,256,0.5692875649264154,0.5561368860309961,0.5280098039794484,8.05749127387399,8.040317134912241
0.2,118,oracle,1.0,512,512,0.516923083317727,0.4796326137750579,0.4796326137750579,8.116000028666635,8.187872893977236
0.2,118,validation,2.0,512,128,0.5235472299761681,0.4796326137750579,0.5352530821867333,8.004452094436312,8.10173637778607
0.2,119,oracle,1.0,512,128,0.46363908193624404,0.5344532886017682,0.4631987135036576,7.981568008109906,8.102091530272583
0.2,119,validation,2.0,256,256,0.5113567311735476,0.49892887306196493,0.49892887306196493,7.973044339933814,8.048708594679345
0.2,120,oracle,1.0,128,256,0.46865695380276695,0.5270186165024491,0.4883515801268274,7.980998432611068,7.980571342397341
0.2,120,validation,0.5,512,256,0.4952885245869227,0.5079841603474834,0.4883515801268274,7.972771438088216,7.980571342397341
0.3,111,oracle,1.0,512,256,0.506758787405311,0.5502187879891003,0.5179435333875944,7.866803289662737,8.000591664939488
0.3,111,validation,1.0,512,256,0.506758787405311,0.5502187879891003,0.5179435333875944,7.866803289662737,8.000591664939488
0.3,112,oracle,2.0,512,512,0.5680586552734825,0.5037069050439489,0.5037069050439489,8.096436282391883,8.022242966922098
0.3,112,validation,0.5,512,128,0.6566084723938331,0.5037069050439489,0.5065011702182408,7.99804863621569,7.96848473095725
0.3,113,oracle,1.0,512,512,0.5052219189431466,0.49143791588231717,0.49143791588231717,7.859037109758029,8.000440192359488
0.3,113,validation,1.0,512,512,0.5052219189431466,0.49143791588231717,0.49143791588231717,7.859037109758029,8.000440192359488
0.3,114,oracle,2.0,256,512,0.5110693475229818,0.5772433198258239,0.4718285088131358,8.078342013730493,8.017880504158938
0.3,114,validation,3.0,256,256,0.5615863292605275,0.5772433198258239,0.5772433198258239,7.984358297256063,7.940698349791728
0.3,115,oracle,2.0,512,128,0.4971376747235162,0.544810451911698,0.4839041718424736,8.005105489630644,8.045456822382466
0.3,115,validation,2.0,256,256,0.5475465258143369,0.5440802467557215,0.5440802467557215,7.990544028752059,8.03883773307572
0.3,116,oracle,2.0,256,256,0.5076582172737618,0.5744199861471959,0.5744199861471959,8.203914221221277,8.234879682427184
0.3,116,validation,1.0,512,128,0.5204996086956191,0.6128746061368476,0.6441049775756743,8.090210220502978,8.07579061037958
0.3,117,oracle,1.0,512,512,0.4954625846651622,0.46614700118171765,0.46614700118171765,7.894660589719926,7.736810960313874
0.3,117,validation,3.0,512,512,0.5847794578797276,0.46614700118171765,0.46614700118171765,7.828184593355645,7.736810960313874
0.3,118,oracle,0.5,512,256,0.47731152319965076,0.5419494663165683,0.5009472289687391,7.872828778948765,8.005547499663722
0.3,118,validation,0.5,512,512,0.47731152319965076,0.5419494663165683,0.5419494663165683,7.872828778948765,7.9415546526383345
0.3,119,oracle,2.0,512,256,0.46212435499738536,0.5572186044388304,0.49402495943755287,8.0502125849621,8.059427723646229
0.3,119,validation,3.0,256,128,0.5151551125746058,0.49402495943755287,0.5398916944103787,7.931892414958454,7.912760318856155
0.3,120,oracle,1.0,256,128,0.5142351368663034,0.5448811625963804,0.44510137079707635,8.070592401069437,8.012278373031739
0.3,120,validation,2.0,256,128,0.551725269287885,0.5448811625963804,0.44510137079707635,7.979527678809164,8.012278373031739
0.4,111,oracle,2.0,256,256,0.47252211381261855,0.5043467572332039,0.5043467572332039,7.8066395516058185,7.820186678063985
0.4,111,validation,2.0,128,256,0.4800752666952408,0.5989919301222515,0.5043467572332039,7.767260613935589,7.820186678063985
0.4,112,oracle,2.0,512,256,0.4998144581128001,0.6445314235722416,0.552880941695605,7.9219647163406375,8.045064203050696
0.4,112,validation,2.0,512,128,0.4998144581128001,0.6445314235722416,0.5951297368983645,7.9219647163406375,7.9102876871739065
0.4,113,oracle,2.0,512,128,0.4159638780555252,0.5693111286694756,0.5374774045831837,7.987797439633835,8.016735719106753
0.4,113,validation,1.0,512,256,0.4596893667172081,0.5693111286694756,0.6087299384516697,7.849209901917556,7.926469801091466
0.4,114,oracle,1.0,512,512,0.4535114015354615,0.4925532783445063,0.4925532783445063,7.640670629497533,7.763125809953283
0.4,114,validation,1.0,512,512,0.4535114015354615,0.4925532783445063,0.4925532783445063,7.640670629497533,7.763125809953283
0.4,115,oracle,1.0,256,128,0.4444286287056667,0.574376646017008,0.4847437660996595,7.749471922055356,7.891613288682536
0.4,115,validation,1.0,512,128,0.4724393989533145,0.5921199112576127,0.4847437660996595,7.686854909513588,7.891613288682536
0.4,116,oracle,2.0,256,256,0.4547110686199919,0.5644586237772145,0.5644586237772145,7.926779892468642,8.037947500701348
0.4,116,validation,1.0,512,512,0.5274184531211474,0.5707504873030294,0.5707504873030294,7.815744765741805,7.902069689814696
0.4,117,oracle,1.0,256,256,0.5437709918459637,0.5712176360877217,0.5712176360877217,8.066507373355016,8.009887483245766
0.4,117,validation,1.0,512,512,0.5793141961419683,0.5778801531013413,0.5778801531013413,7.954976803924428,7.967763191988403
0.4,118,oracle,1.0,512,512,0.4235522677493314,0.5471960348959315,0.5471960348959315,7.753577141157288,7.838039487592408
0.4,118,validation,1.0,512,512,0.4235522677493314,0.5471960348959315,0.5471960348959315,7.753577141157288,7.838039487592408
0.4,119,oracle,1.0,256,512,0.4746555209854125,0.5310375260478823,0.4954371846207728,7.837251273482942,7.915304570110084
0.4,119,validation,1.0,512,128,0.484143548410771,0.4954371846207728,0.5130447900196948,7.77613049579025,7.74048488598079
0.4,120,oracle,1.0,512,512,0.5237092231252427,0.4968255756660589,0.4968255756660589,8.08342895435844,8.01662356682314
0.4,120,validation,3.0,512,128,0.5607325606331741,0.4968255756660589,0.5123722847896814,7.882388767292663,7.9836500993143895
0.5,111,oracle,3.0,512,256,0.4800740907838991,0.5589035567298237,0.5222433738318376,7.715559859640959,7.7094154025657895
0.5,111,validation,3.0,512,256,0.4800740907838991,0.5589035567298237,0.5222433738318376,7.715559859640959,7.7094154025657895
0.5,112,oracle,2.0,512,128,0.5196744269707684,0.5840913622822568,0.5039192759188287,7.801903032801223,7.750197034692311
0.5,112,validation,2.0,128,128,0.525346641362167,0.5039192759188287,0.5039192759188287,7.743159212557043,7.750197034692311
0.5,113,oracle,1.0,512,256,0.4942366202634366,0.5184594710092205,0.5079515341642973,7.726973281978863,7.6805947713846345
0.5,113,validation,0.5,256,256,0.5361631209732665,0.5079515341642973,0.5079515341642973,7.648041130347963,7.6805947713846345
0.5,114,oracle,2.0,512,128,0.45738490675983945,0.6204078508202102,0.4853564437464913,7.760690976239442,7.810424778650956
0.5,114,validation,2.0,512,128,0.45738490675983945,0.6204078508202102,0.4853564437464913,7.760690976239442,7.810424778650956
0.5,115,oracle,1.0,512,256,0.44340904226405703,0.5176136156886838,0.4929849681678432,7.580093487634659,7.6833327859954945
0.5,115,validation,1.0,512,256,0.44340904226405703,0.5176136156886838,0.4929849681678432,7.580093487634659,7.6833327859954945
0.5,116,oracle,1.0,256,256,0.5400198350359036,0.5009682802568656,0.5009682802568656,7.7163354240817785,7.680269447039905
0.5,116,validation,2.0,512,256,0.5739212977037144,0.5398855836952492,0.5009682802568656,7.63739130225448,7.680269447039905
0.5,117,oracle,0.5,512,512,0.5704237565063848,0.49486573904366954,0.49486573904366954,7.585956063816289,7.686497880682171
0.5,117,validation,0.5,512,128,0.5704237565063848,0.49486573904366954,0.5472383049864771,7.585956063816289,7.646982827033724
0.5,118,oracle,2.0,512,128,0.5213384285974205,0.6113609678141907,0.5427666967570275,7.919288508638816,7.78328554608152
0.5,118,validation,0.5,512,512,0.5991938748778426,0.6113609678141907,0.6113609678141907,7.735127965881238,7.743571876792774
